"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087328494","https://www.inaturalist.org/observations/263417817","HUMAN_OBSERVATION","2025-02-21T17:20","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.095789,-79.283354,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087340483","https://www.inaturalist.org/observations/263417818","HUMAN_OBSERVATION","2025-02-21T17:20","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.007372,-79.248303,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087307411","https://www.inaturalist.org/observations/263417819","HUMAN_OBSERVATION","2025-02-21T17:20","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.128495,-79.368669,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087434487","https://www.inaturalist.org/observations/263417820","HUMAN_OBSERVATION","2025-02-21T17:21","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.192654,-79.278362,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087350516","https://www.inaturalist.org/observations/263417821","HUMAN_OBSERVATION","2025-02-21T17:21","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.148079,-79.20981,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087441391","https://www.inaturalist.org/observations/263417822","HUMAN_OBSERVATION","2025-02-21T17:22","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.097385,-79.356099,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087370581","https://www.inaturalist.org/observations/263417823","HUMAN_OBSERVATION","2025-02-21T17:23","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.171715,-79.363825,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087359484","https://www.inaturalist.org/observations/263417824","HUMAN_OBSERVATION","2025-02-21T17:23","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.187313,-79.213329,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087416504","https://www.inaturalist.org/observations/263417825","HUMAN_OBSERVATION","2025-02-21T17:24","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.149215,-79.200871,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera brevifolia Wells","Pyxidanthera","brevifolia",NA,"5087445546","https://www.inaturalist.org/observations/263417826","HUMAN_OBSERVATION","2025-02-21T17:24","2025","2","21","iNaturalist","Alex Karasoulos","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.092192,-79.352252,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
