"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4075596811","https://www.inaturalist.org/observations/146307594","HUMAN_OBSERVATION","2023-01-05T16:11:00","2023","1","5","iNaturalist","Alexandra Touloupas","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Brunswick County, US-NC, US",34.106983,-78.228903,"28874","Coordinate uncertainty increased to 28874m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4039497701","https://www.inaturalist.org/observations/149208448","HUMAN_OBSERVATION","2023-02-19T15:24:29","2023","2","19","iNaturalist","fart","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Wilmington Hwy, Holly Ridge, NC, US",34.529019,-77.505457,"310",NA,NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4054728589","https://www.inaturalist.org/observations/149913246","HUMAN_OBSERVATION","2023-02-28T08:17:02","2023","2","28","iNaturalist","Leeann McClure","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",34.482071,-77.682992,"28818","Coordinate uncertainty increased to 28818m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4054953709","https://www.inaturalist.org/observations/149997084","HUMAN_OBSERVATION","2023-02-19T10:15:09","2023","2","19","iNaturalist","Matt Reala","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",34.458613,-77.744096,"28818","Coordinate uncertainty increased to 28818m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4076228868","https://www.inaturalist.org/observations/150000793","HUMAN_OBSERVATION","2023-02-19T13:35:59","2023","2","19","iNaturalist","Matt Reala","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Brunswick County, US-NC, US",34.131903,-78.38347,"28874","Coordinate uncertainty increased to 28874m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4076271906","https://www.inaturalist.org/observations/150983682","HUMAN_OBSERVATION","2023-02-23T12:02:50","2023","2","23","iNaturalist","Keith Bradley","United States of America",NA,"South Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Horry County, US-SC, US",34.049328,-78.859355,"28874","Coordinate uncertainty increased to 28874m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4062856834","https://www.inaturalist.org/observations/150707981","HUMAN_OBSERVATION","2023-03-09T12:13:00","2023","3","9","iNaturalist","Bonnie Semmling","United States of America",NA,"New Jersey","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Little Egg Harbor Township, NJ, USA",39.70379,-74.386482,"804",NA,NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4067184121","https://www.inaturalist.org/observations/151452423","HUMAN_OBSERVATION","2023-03-17T17:32:28","2023","3","17","iNaturalist","jmole","United States of America",NA,"New Jersey","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Monroe, NJ, USA",39.623708,-74.899475,NA,NA,NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4075779380","https://www.inaturalist.org/observations/152177244","HUMAN_OBSERVATION","2023-03-24T14:28:56","2023","3","24","iNaturalist","Todd Boland","United States of America",NA,"New Jersey","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Little Egg Harbor Township, NJ, USA",39.703997,-74.385525,NA,NA,NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4075927768","https://www.inaturalist.org/observations/152495611","HUMAN_OBSERVATION","2023-03-26T12:53:03","2023","3","26","iNaturalist","trose3","United States of America",NA,"South Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: Nichols, SC, US",34.152008,-79.083922,"4",NA,NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4075967778","https://www.inaturalist.org/observations/152518036","HUMAN_OBSERVATION","2023-03-26T15:29:08","2023","3","26","iNaturalist","John Kees","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.127762,-79.443953,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4091585531","https://www.inaturalist.org/observations/152518389","HUMAN_OBSERVATION","2023-03-26T13:02:33","2023","3","26","iNaturalist","John Kees","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.044707,-79.697464,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4091833545","https://www.inaturalist.org/observations/152584075","HUMAN_OBSERVATION","2023-03-26T11:03:00","2023","3","26","iNaturalist","Jared Gorrell","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.063653,-79.621228,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
"Pyxidanthera barbulata Michx.","Pyxidanthera","barbulata",NA,"4075881886","https://www.inaturalist.org/observations/152584243","HUMAN_OBSERVATION","2023-03-26T13:27:00","2023","3","26","iNaturalist","Jared Gorrell","United States of America",NA,"North Carolina","locality:  NA, occurrenceRemarks: NA, verbatimLocality: North Carolina, US",35.060888,-79.553744,"28734","Coordinate uncertainty increased to 28734m at the request of the observer",NA,"GBIF"
